,name,qid,measure,value
25,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",168216,recip_rank,1.0
26,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",168216,ndcg_cut_10,0.8909724089198024
27,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",168216,ndcg_cut_30,0.8050690481337306
28,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1133167,map,0.20054795645542575
29,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1133167,recip_rank,1.0
30,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1133167,ndcg_cut_10,0.5311740441648661
31,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1133167,ndcg_cut_30,0.33691615557274107
32,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",527433,map,0.013510628348642395
33,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",527433,recip_rank,0.011235955056179775
34,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",527433,ndcg_cut_10,0.0
35,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",527433,ndcg_cut_30,0.0
36,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1037798,map,0.03202366998930052
37,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1037798,recip_rank,0.16666666666666666
38,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1037798,ndcg_cut_10,0.07260282215323915
39,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1037798,ndcg_cut_30,0.06705506015655611
40,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",915593,map,0.24837396024901348
41,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",915593,recip_rank,0.3333333333333333
42,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",915593,ndcg_cut_10,0.21740760836499995
43,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",915593,ndcg_cut_30,0.2852463551174818
44,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",264014,map,0.11481446642968163
45,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",264014,recip_rank,0.25
46,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",264014,ndcg_cut_10,0.06319224291303384
47,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",264014,ndcg_cut_30,0.2089837106015057
48,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1121402,map,0.32691941436551425
49,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1121402,recip_rank,1.0
50,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1121402,ndcg_cut_10,0.3004469328853031
51,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1121402,ndcg_cut_30,0.47018685245446346
52,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",962179,map,0.02614549968315434
53,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",962179,recip_rank,0.05
54,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",962179,ndcg_cut_10,0.0
55,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",962179,ndcg_cut_30,0.04003954170094374
56,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1117099,map,0.04854995942535565
57,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1117099,recip_rank,0.3333333333333333
58,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1117099,ndcg_cut_10,0.20022334766997635
59,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1117099,ndcg_cut_30,0.12723619214798965
60,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",148538,map,0.09687882079778555
61,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",148538,recip_rank,0.1111111111111111
62,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",148538,ndcg_cut_10,0.05617253880444628
63,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",148538,ndcg_cut_30,0.1071613185406135
64,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",451602,map,0.05055035195456963
65,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",451602,recip_rank,0.2
66,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",451602,ndcg_cut_10,0.08514311764162098
67,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",451602,ndcg_cut_30,0.12355822386207636
68,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",359349,map,0.23942826263879854
69,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",359349,recip_rank,1.0
70,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",359349,ndcg_cut_10,0.3611676119588158
71,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",359349,ndcg_cut_30,0.5256325824990483
72,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1115776,map,0.06984020728500008
73,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1115776,recip_rank,0.2
74,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1115776,ndcg_cut_10,0.31008365832368995
75,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1115776,ndcg_cut_30,0.22366412027374108
76,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1112341,map,0.05125034246867776
77,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1112341,recip_rank,0.07692307692307693
78,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1112341,ndcg_cut_10,0.0
79,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1112341,ndcg_cut_30,0.10733039581487229
80,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",131843,map,0.11479936331915079
81,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",131843,recip_rank,1.0
82,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",131843,ndcg_cut_10,0.5344782299165536
83,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",131843,ndcg_cut_30,0.3638948506892679
84,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",104861,map,0.10541851775255087
85,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",104861,recip_rank,0.14285714285714285
86,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",104861,ndcg_cut_10,0.07336392209936005
87,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",104861,ndcg_cut_30,0.11276815828382328
88,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",833860,map,0.02117122283113664
89,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",833860,recip_rank,0.037037037037037035
90,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",833860,ndcg_cut_10,0.0
91,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",833860,ndcg_cut_30,0.025296707355558053
92,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",207786,map,0.034751365158785304
93,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",207786,recip_rank,0.05
94,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",207786,ndcg_cut_10,0.0
95,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",207786,ndcg_cut_30,0.01786837180384519
96,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1114819,map,0.3582344080726289
97,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1114819,recip_rank,0.5
98,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1114819,ndcg_cut_10,0.21365609594473411
99,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1114819,ndcg_cut_30,0.2874596913588243
100,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",183378,map,0.15470057453315708
101,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",183378,recip_rank,0.2
102,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",183378,ndcg_cut_10,0.16406648460503995
103,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",183378,ndcg_cut_30,0.2589299280248362
104,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1106007,map,0.022939015346146174
105,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1106007,recip_rank,0.14285714285714285
106,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1106007,ndcg_cut_10,0.05379908282997335
107,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1106007,ndcg_cut_30,0.030824484763579345
108,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1124210,map,0.19546267532138772
109,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1124210,recip_rank,1.0
110,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1124210,ndcg_cut_10,0.46444531714253245
111,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1124210,ndcg_cut_30,0.3693340674060143
112,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",490595,map,0.0860547269427437
